idCommune;nomCommune;annee;taux;nbMaison;nbAppart;prixM2Moyen;prixMoyen;surface;depCulturelleTotal;bugdet;population;listeVoisine;listeGare
22273;SAINT-ALBAN;2021;0.0;40;0;2386.38;261136.0;110.9;-1.0;-1.0;-1;;
22274;SAINT-ANDRE-DES-EAUX;2018;0.0;7;0;1668.14;186085.0;110.571;-1.0;-1.0;-1;;
22274;SAINT-ANDRE-DES-EAUX;2019;0.0;5;0;1350.2;152050.0;112.0;-1.0;-1.0;-1;;
22274;SAINT-ANDRE-DES-EAUX;2020;0.0;3;0;1589.0;240300.0;150.0;-1.0;-1.0;-1;;
22274;SAINT-ANDRE-DES-EAUX;2021;0.0;4;0;1263.25;115875.0;98.0;-1.0;-1.0;-1;;
22275;SAINT-BARNABE;2018;0.0;15;0;1164.47;119333.0;112.4;-1.0;-1.0;-1;;
22275;SAINT-BARNABE;2019;0.0;10;0;830.0;76720.0;92.4;-1.0;-1.0;-1;;
22275;SAINT-BARNABE;2020;0.0;11;0;1234.27;108795.0;91.6364;-1.0;-1.0;-1;;
22275;SAINT-BARNABE;2021;0.0;19;0;1225.32;111341.0;97.7895;-1.0;-1.0;-1;;
22276;SAINT-BIHY;2018;0.0;2;0;936.5;128000.0;142.0;-1.0;-1.0;-1;;
22276;SAINT-BIHY;2021;0.0;7;0;1252.0;129286.0;98.5714;-1.0;-1.0;-1;;
22277;SAINT-BRANDAN;2018;0.0;23;0;1605.17;153427.0;94.7826;-1.0;-1.0;-1;;87473330 | 
22277;SAINT-BRANDAN;2019;0.0;28;0;1351.61;115427.0;87.8571;-1.0;-1.0;-1;;87473330 | 
22277;SAINT-BRANDAN;2020;0.0;29;0;1495.52;161597.0;106.931;-1.0;-1.0;-1;;87473330 | 
22277;SAINT-BRANDAN;2021;0.0;36;0;1440.28;143751.0;99.2222;-1.0;-1.0;-1;;87473330 | 
22278;SAINT-BRIEUC;2018;0.0;378;447;1321.27;105932.0;78.7794;-1.0;-1.0;-1;;87473009 | 87473041 | 
22278;SAINT-BRIEUC;2019;0.0;437;568;1315.08;102128.0;76.2627;7914.0;78109.0;44170;;87473009 | 87473041 | 
22278;SAINT-BRIEUC;2020;0.0;391;653;1418.96;107054.0;74.6073;7312.0;0.0;45721;;87473009 | 87473041 | 
22278;SAINT-BRIEUC;2021;0.0;525;718;1621.32;129653.0;78.8689;-1.0;-1.0;-1;;87473009 | 87473041 | 
22279;SAINT-CARADEC;2018;0.0;17;0;948.647;96250.4;109.294;-1.0;-1.0;-1;;
22279;SAINT-CARADEC;2019;0.0;13;0;1021.08;83846.2;84.9231;-1.0;-1.0;-1;;
22279;SAINT-CARADEC;2020;0.0;16;1;1032.35;98355.9;94.2353;-1.0;-1.0;-1;;
22279;SAINT-CARADEC;2021;0.0;20;0;1279.75;118256.0;96.45;-1.0;-1.0;-1;;
22280;SAINT-CARNE;2018;0.0;13;0;1493.85;146423.0;97.9231;-1.0;-1.0;-1;;
22280;SAINT-CARNE;2019;0.0;12;0;1460.33;123783.0;85.25;-1.0;-1.0;-1;;
22280;SAINT-CARNE;2020;0.0;13;0;1450.54;156185.0;111.538;-1.0;-1.0;-1;;
22280;SAINT-CARNE;2021;0.0;16;0;1775.88;184647.0;102.375;-1.0;-1.0;-1;;
22281;SAINT-CARREUC;2018;0.0;16;0;1133.19;118314.0;109.438;-1.0;-1.0;-1;;
22281;SAINT-CARREUC;2019;0.0;13;0;1277.62;123086.0;97.3846;-1.0;-1.0;-1;;
22281;SAINT-CARREUC;2020;0.0;11;0;1289.09;133923.0;105.455;-1.0;-1.0;-1;;
22281;SAINT-CARREUC;2021;0.0;16;0;1233.88;133223.0;106.25;-1.0;-1.0;-1;;
22282;SAINT-CAST-LE-GUILDO;2018;0.0;69;41;2814.44;228647.0;78.8545;-1.0;-1.0;-1;;
22282;SAINT-CAST-LE-GUILDO;2019;0.0;93;68;2695.5;214168.0;82.0124;-1.0;-1.0;-1;;
22282;SAINT-CAST-LE-GUILDO;2020;0.0;105;85;2879.99;217537.0;77.5368;-1.0;-1.0;-1;;
22282;SAINT-CAST-LE-GUILDO;2021;0.0;90;55;3493.37;294582.0;85.2345;-1.0;-1.0;-1;;
22283;SAINT-CLET;2018;0.0;9;0;1021.78;103104.0;101.222;-1.0;-1.0;-1;;
22283;SAINT-CLET;2019;0.0;17;0;996.059;91632.4;95.6471;-1.0;-1.0;-1;;
22283;SAINT-CLET;2020;0.0;16;0;1433.88;128293.0;88.875;-1.0;-1.0;-1;;
22283;SAINT-CLET;2021;0.0;23;0;1275.3;106015.0;83.9565;-1.0;-1.0;-1;;
22284;SAINT-CONNAN;2018;0.0;6;0;688.667;49678.3;68.6667;-1.0;-1.0;-1;;
22284;SAINT-CONNAN;2019;0.0;5;0;1314.4;95560.0;78.4;-1.0;-1.0;-1;;
22284;SAINT-CONNAN;2020;0.0;8;0;752.75;58625.0;74.5;-1.0;-1.0;-1;;
22284;SAINT-CONNAN;2021;0.0;14;0;1064.43;85587.1;83.5714;-1.0;-1.0;-1;;
22285;SAINT-CONNEC;2018;0.0;6;0;1061.83;81492.7;87.5;-1.0;-1.0;-1;;
22285;SAINT-CONNEC;2019;0.0;1;0;426.0;40000.0;94.0;-1.0;-1.0;-1;;
22285;SAINT-CONNEC;2020;0.0;6;0;939.167;128483.0;138.833;-1.0;-1.0;-1;;
22285;SAINT-CONNEC;2021;0.0;10;0;1167.8;90963.0;84.3;-1.0;-1.0;-1;;
22286;SAINT-DENOUAL;2018;0.0;4;0;1388.25;126675.0;90.25;-1.0;-1.0;-1;;
22286;SAINT-DENOUAL;2019;0.0;7;0;1169.57;138529.0;129.571;-1.0;-1.0;-1;;
22286;SAINT-DENOUAL;2020;0.0;5;0;1944.4;172800.0;93.8;-1.0;-1.0;-1;;
22286;SAINT-DENOUAL;2021;0.0;5;0;1769.0;187161.0;105.2;-1.0;-1.0;-1;;
